id,date,user,text,retweet_count,favorite_count,location
1233297651052900352,2020-02-28 07:47:28,mapsofworld,@ReutersUK We at @mapsofworld have been tracking the spread of #coronavirus since 27th January 2020. We have been u… https://t.co/gGYWBEEKeJ,0,0,"San Jose, US"
1233297625560109057,2020-02-28 07:47:22,onlydotcom,All you wailers happy about #coronavirusnigeria Know this...  #CoronavirusOutbreak knows no hailer or wailer. A wai… https://t.co/WQRS5MJ2D6,0,0,
1233297619297996800,2020-02-28 07:47:20,sumotrust,"With Nigeria confirming first case of Coronavirus in Lagos, this is what we found online that can help you stay saf… https://t.co/athkp8hJIr",0,0,Nigeria
1233297615325810688,2020-02-28 07:47:19,mapsofworld,@Reuters We at @mapsofworld have been tracking the spread of #coronavirus since 27th January 2020. We have been upd… https://t.co/ggpuZ5wWdC,0,0,"San Jose, US"
1233297600318713856,2020-02-28 07:47:16,elenichrysos,Franklin D. Roosevelt: “The only thing we have to fear is fear itself” #CoronavirusOutbreak https://t.co/n2urXjJce5,0,0,
1233297576268619777,2020-02-28 07:47:10,meonewsen,"Death toll from #coronavirus has risen to 26 in #Iran, prompting authorities to call off Friday prayers in several… https://t.co/8stPc7854P",0,0,
1233297553787146240,2020-02-28 07:47:05,siffeeigbokwe,"Nigeria just had its 1st coronavirus case, carefulness its an understatement, Be vigilant, prevention is better tha… https://t.co/fjZMTFS8aj",0,0,"Abuja, Nigeria"
1233297542567407621,2020-02-28 07:47:02,NEAnalytica,"@bundle_of_joy69 16k Americans died of flu? It's time to panic #CoronavirusOutbreak is coming, and Trumps supporter… https://t.co/DlATegnfW6",0,0,"England, United Kingdom"
1233297533583216641,2020-02-28 07:47:00,mosope_foluwa,".abeg if i no shake u again no vex 🙏🏽

.u know as e dey go💁🏽‍♂️

#CoronaVirusUpdates #coronavirusnigeria 
#CoronavirusOutbreak
#COVID2019",0,0,"Lagos, Nigeria"
1233297510850027520,2020-02-28 07:46:54,Kelflow80,@Chiedochie_ Are you sure you would still suck breast after the news of this #CoronavirusOutbreak ?,0,0,Nearby
1233297476398043136,2020-02-28 07:46:46,heedayaht,I believe we can handle this single case of #CoronavirusOutbreak frim spreading,0,0,Right next to you
1233297464112877568,2020-02-28 07:46:43,brodar_Victor,"If you attend or who know someone who attends Glorious Mount Of Possibility church
Please tell your pastor that the… https://t.co/Vc3k8h4fIl",0,0,
1233297449239773184,2020-02-28 07:46:40,PhilBhojwanay,Thanks to the stupid bunch in a certain country that have no sense of hygiene and common sense the rest of us have… https://t.co/sJd1GV34vX,0,0,
1233297446459117568,2020-02-28 07:46:39,EnemaRichard,"Pls stay safe
 #CoronavirusOutbreak https://t.co/EhiQWOTtWF",0,0,Nigeria 
1233297422736142336,2020-02-28 07:46:33,kebbigidane,"Nigeria has recorded its first case of Coronavirus after an Italian national tested positive to the virus, the Fede… https://t.co/svHZpOF8TL",0,0,"Birnin-Kebbi, Nigeria"
1233297422203441152,2020-02-28 07:46:33,Iam_Muzzamil,"Things you need to know about the virus. They say wearing a face mask can also prevent it.
#CoronaVirusUpdates… https://t.co/oI7TiAmyvR",0,0,
1233297414985003008,2020-02-28 07:46:31,MarkSteenbok24,The Health Ministry have confirmed that two South African citizens working on a Japanese cruise ship have tested po… https://t.co/bd0kQtVCdl,0,0,"Cape Town, South Africa"
1233297391291334656,2020-02-28 07:46:26,olumideanelka,"This is how our naija women used to dress before the devil became a tailor.

RT.

#ARSOLY #CoronaVirusUpdates… https://t.co/TSLNFBYXBA",0,0,"Lagos, Nigeria"
1233297391291334656,2020-02-28 07:46:26,olumideanelka,"This is how our naija women used to dress before the devil became a tailor.

RT.

#ARSOLY #CoronaVirusUpdates… https://t.co/TSLNFBYXBA",0,0,"Lagos, Nigeria"
1233297372031090693,2020-02-28 07:46:21,fizankhan1,When anyone coughs or sneezes these days on the underground every man is ready to throw hands #COVID19US… https://t.co/Hb2zWk6uIQ,0,0,
1233297349839118343,2020-02-28 07:46:16,Iam_Muzzamil,"First case of #CoVid19 confirmed in Lagos, Nigeria. As reported by the Federal Ministry of Health. He is an Italian… https://t.co/6jtvyr120D",0,0,
