id,date,user,text,retweet_count,favorite_count,location
1232511047006736384,2020-02-26 03:41:47,DragonForce_One,Three COVID-19 Cases as Described by Doctors in China... [ VIDEO ] - https://t.co/FQAqOqNlGM #Coronavirustruth… https://t.co/rIHR2LILL9,0,0,"Abbotsford, B.C."
1232508379576360960,2020-02-26 03:31:11,criskotsu,#CoronaVirusUpdate #China Tianjin University claim to have developed an oral vaccine against #COVID19. Lead prof ha… https://t.co/g4KVIpQTD5,0,0,"Shanghai, People's Republic of"
1232505145415520258,2020-02-26 03:18:20,NeerajCNBC,"@CNBC_Awaaz #CoronaVirusUpdate 
Chinese authorities quarantined passengers on a flight from Seoul to Nanjing after… https://t.co/dJNSAVmF21",0,3,Mumbai / RaeBareli
1232504745782317057,2020-02-26 03:16:44,criskotsu,#coronavirusupdate #Tenerife #Spain Canarias Island hotel under quarantine after an Italian doctor was confirmed wi… https://t.co/I2sffQQmPo,0,0,"Shanghai, People's Republic of"
1232504635358769152,2020-02-26 03:16:18,NeerajCNBC,"@CNBC_Awaaz #CoronaVirusUpdate 
Hundreds of people with severe coughs and fevers, including those who haven't been… https://t.co/mX0HmOV2DS",0,5,Mumbai / RaeBareli
1232503618047078400,2020-02-26 03:12:16,NeerajCNBC,"#CoronaVirusUpdate 
Total Cases Global 80,000
China 78064
China death toll 2715 up 71
Italy 1000, death toll 11
S K… https://t.co/nBvMQaOHe4",7,23,Mumbai / RaeBareli
1232502840876134400,2020-02-26 03:09:10,Vlane51732643,A made-in-Canada solution to the coronavirus outbreak? - https://t.co/GHrt0C8kbb https://t.co/8DaagfP8lk… https://t.co/Ap0dlYOsZH,0,0,Canada
1232502626350256128,2020-02-26 03:08:19,criskotsu,#coronavirusupdate #USA reports 57 cases. San Francisco declared ‘state of emergency’ though there are 0 cases conf… https://t.co/BcA884CQU7,0,1,"Shanghai, People's Republic of"
1232501564088213504,2020-02-26 03:04:06,criskotsu,"#coronavirusupdate @CDCgov expects #COVID19 to spread in #USA and recommends people to be prepared
“It’s not so muc… https://t.co/c9lef2EmAf",0,0,"Shanghai, People's Republic of"
1232501075036364800,2020-02-26 03:02:09,Trickpro1,"COVID19 #CoronaVirusUpdate #Coronavirus #CoronavirusOutbreak #2019nCoV #COVIDー19 
80,538 confirmed cases🤒
29,998 re… https://t.co/z5wwguDXCh",5,3,
1232500500756598784,2020-02-26 02:59:52,criskotsu,"#coronavirusupdate #Olympics2020
2020 Tokyo Olympics are likely to be canceled if #CoronavirusOutbreak is not contr… https://t.co/inOUwrxwYB",0,0,"Shanghai, People's Republic of"
1232498675064066048,2020-02-26 02:52:37,criskotsu,"#coronavirusupdate #Iran confirms 95 infected, included Deputy Health Minister and one of the countries parlamentar… https://t.co/LlLgGHJaZO",1,0,"Shanghai, People's Republic of"
1232498006840180737,2020-02-26 02:49:58,criskotsu,"#coronavirusupdate #Italy reports 323 infected and 11 deaths, #CoronavirusOutbreak has spread to 9 regions… https://t.co/1NpALDsec0",1,0,"Shanghai, People's Republic of"
1232497245536149506,2020-02-26 02:46:56,criskotsu,"#coronavirusupdate Countries confirms first case of #Covid19
#Algeria Italian national who was detected and immedia… https://t.co/7oVENEMkqq",0,0,"Shanghai, People's Republic of"
1232495894496346112,2020-02-26 02:41:34,AbbeyMaeCook88,The #Coronavirus finally made the front page of #FoxNews and #CNN. Not that I even come close to trusting the CDC b… https://t.co/1pkANI60af,1,5,
1232493665483771904,2020-02-26 02:32:43,carolinefan,"She not only released her #CoronaVirusUpdate plan first, she addresses the scapegoating of Chinese American communi… https://t.co/HOefjm7g0c",0,4,
1232490480002191360,2020-02-26 02:20:03,CarlosThepap,"Free Give Away Zcode Scores Predictor Product 

https://t.co/1paW3zPxKD  #Corvid19usa 
#CoronaVirusUpdate #sports… https://t.co/ZJgplmATHP",0,0,
1232486427578908672,2020-02-26 02:03:57,mgettoh_254,How a government that has failed to contain an insect as large as locust will control a microscopic virus wiping ou… https://t.co/FbY99BMYIF,0,0,"Nairobi, Kenya"
1232479127317307392,2020-02-26 01:34:56,Pete_Da_Pirate,"Gold ?
Bitcoin ?

Fuck No

I Can Totally See
TOILET PAPER
Being The Only
Exchangeable Traded ""Currency""
Of The
Coro… https://t.co/gWcaFNbPRP",0,3,Independently Owned & Operated
1232478987563044864,2020-02-26 01:34:23,DataGeekHub,"@SteveKBannon Latest estimation of the #CoronavirusOutbreak in mainland China, and global map of the pandemic. Don'… https://t.co/kuM3wPaKKX",0,0,
1232476690808336389,2020-02-26 01:25:16,GematriaHub,"Headlines | Who tells world prepare for Coronavirus pandemic, February 25, 2020 +Kobe Bean Bryant #ZacharyKHubbard… https://t.co/oSrWF9Apwe",0,0,Ciphers 🔠 🔢
1232471784546455552,2020-02-26 01:05:46,bruce_mcgonigal,She tested positive but never got sick (Asymptomatic).  She is infectious though and could easily get very sick in… https://t.co/Nv4dRR0Iib,0,0,"Vancouver, BC"
1232470913402060801,2020-02-26 01:02:18,AlDubest2Evry1,"Moderna ships coronavirus vaccine to Washington, D.C., for testing
https://t.co/qOg9y9PaxO

#coronavirus… https://t.co/IHMk47XFCK",0,0,I M 🚫Bot🤖. Trump’s 🚫 racist
1232468701024116736,2020-02-26 00:53:31,bruce_mcgonigal,"Now that San Francisco has declared a STATE OF EMERGENCY over the Coronavirus, we must ask the hard questions...… https://t.co/HB6zoHA2PQ",0,0,"Vancouver, BC"
1232465771386695680,2020-02-26 00:41:52,Pete_Da_Pirate,"People Might Live
MONTH TO MONTH
PAY CHECK TO PAYCHECK

             BUT

They Only Have
2 Spare Rolls In
Of Toilet… https://t.co/T59Yf6xfez",0,0,Independently Owned & Operated
1232463883995975681,2020-02-26 00:34:22,Pete_Da_Pirate,"The Corporate Meeting
In San Francisco Next Week
Has Been Postponed

The Conversation
Went To
Worst-Case Scenarios… https://t.co/y0nXmOH9L8",1,1,Independently Owned & Operated
1232463450971856898,2020-02-26 00:32:39,bruce_mcgonigal,"""Privacy is important for everyone. What we want is for people who have symptoms to contact us,"" Dix said. ""Privacy… https://t.co/qtNxH3VIoa",0,0,"Vancouver, BC"
1232462716217909248,2020-02-26 00:29:44,bruce_mcgonigal,"State of Emergency called in San Fran over COVID-19. MORE INFO HERE&gt;

#coronavrius #CoronaVirusCanada… https://t.co/GvpjBKpMA2",2,1,"Vancouver, BC"
1232460377054531590,2020-02-26 00:20:26,bruce_mcgonigal,"They know that if it hits their massive homeless population, the virus could end up everywhere in a matter of days.… https://t.co/HX30kPUPcr",0,0,"Vancouver, BC"
1232458934788558848,2020-02-26 00:14:42,EpidemicStats,#coronavirus Latests Update! New 1 infected in #Germany. Total: 18 infected. See live stats for Germany on… https://t.co/30b7hGWJ2c,2,1,
1232454104812675072,2020-02-25 23:55:31,jbsrq,"Worst case scenario

#CoronaVirusUpdate #cornoavirus #COVID19 #COVID

https://t.co/W5Gy6aGUZP",0,0,Michael Ball's refrigerator
1232452820831363072,2020-02-25 23:50:25,Pete_Da_Pirate,"#Coronavirus Is Now
#TrumpVirus

Started From Crazy Bat-Shit

Nothing Being Done
To Help

No Truth, Just
Lies And C… https://t.co/4a9ZFqaREH",1,0,Independently Owned & Operated
1232450348729528323,2020-02-25 23:40:35,chrish_99,#CoronaVirusUpdate everything under control https://t.co/z8gGu6HYUa,0,0,"Austin, TX"
1232446437507485696,2020-02-25 23:25:03,CarlosThepap,Free Give Away Zcode Scores Predictor Product https://t.co/1paW3zPxKD  #Corvid19usa #CoronaVirusUpdate #sports… https://t.co/pHqDChI0ss,0,0,
1232444124185280514,2020-02-25 23:15:51,loyaltytravels,The Truth About Coronavirus Infection: What Everyone Needs To Know https://t.co/FENoJYzZ4j by @thesophislife… https://t.co/aEiuYooIIR,2,3,Gather No Moss
1232444055168012290,2020-02-25 23:15:35,EYoung04171603,"#Pandemic #CoronavirusUpdate #CoronavirusUpdates #Coronavirus #KAG #AmericaFirst #KAG2020

Switzerland Announces Fi… https://t.co/BbM0pCX8lm",1,0,
1232443597800083456,2020-02-25 23:13:46,EYoung04171603,"#Pandemic #CoronavirusUpdate #CoronavirusUpdates #Coronavirus #KAG #AmericaFirst #KAG2020

EU Officials Refuse to I… https://t.co/30vJ6d1HRQ",0,0,
1232437958772318210,2020-02-25 22:51:21,Corona_chan_,"Stop #coronavirus RT!

#Tedros, you're fired!

Call for the resignation of Tedros Adhanom Ghebreyesus, #WHO Directo… https://t.co/EyzMEA04hI",0,0,Your side
1232437797958504448,2020-02-25 22:50:43,ItsTheT89077847,"#EnoughIsEnough - Everyone needs to relax.
• Transmission rate of only 2% - better chance of catching measles.
• Fa… https://t.co/U94Hm9nhWj",0,1,USA
1232435674436890624,2020-02-25 22:42:16,olddirtysock,Just heard on the local news that seven people in Iowa are being monitored for the coronavirus. #CoronaVirusUpdate,0,0,"Flyoverville, IA"
1232430216359923712,2020-02-25 22:20:35,Dantheman1250,A sign of the times!! Just received this in the mail!! $MRNA $CODX $COCP #CoronaVirusUpdate https://t.co/hmfsLQ8Fcm,1,1,"ECU@GREENVILLE, NC"
1232430081835962368,2020-02-25 22:20:03,EYoung04171603,"#Pandemic #CoronavirusUpdate #CoronavirusUpdates #Coronavirus #KAG #AmericaFirst #KAG2020

Here Are 425 Million Rea… https://t.co/RHBZGUto7n",0,0,
1232430081835962368,2020-02-25 22:20:03,EYoung04171603,"#Pandemic #CoronavirusUpdate #CoronavirusUpdates #Coronavirus #KAG #AmericaFirst #KAG2020

Here Are 425 Million Rea… https://t.co/RHBZGUto7n",0,0,
1232421362720837633,2020-02-25 21:45:24,OneWorldMonste1,#coronavirusupdate #Quarantine #coronavirus Hundreds of guests 'on lockdown' in Tenerife hotel after positive coron… https://t.co/FXDBVQH7OR,0,1,NELLIS RANGE 
1232420026109480960,2020-02-25 21:40:06,DamionDonnelly,Hundreds of guests 'on lockdown' in Tenerife hotel after positive coronavirus case  https://t.co/UDwKeugbd9… https://t.co/889RZH2nHJ,0,1,"California, USA"
1232419824397168641,2020-02-25 21:39:18,Dantheman1250,Exactly!! $COCP $MRNA #CoronaVirusUpdate https://t.co/oJKZbVugGY,0,0,"ECU@GREENVILLE, NC"
1232419065299439616,2020-02-25 21:36:17,EileenBillinson,President Trump. Please have someone read this to you👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻#CoronaVirusUpdate #Corvid19 https://t.co/tyEjtxer8p,0,0,
