id,date,user,text,retweet_count,favorite_count,location
1233849497693958145,2020-02-29 20:20:18,DrMarcSiegel,What does the coronavirus outbreak mean for Americans? https://t.co/7ll1bRYBX0 #FoxandFriends #coronavirus… https://t.co/2sQ31HRAXN,0,0,
1233849452026265603,2020-02-29 20:20:07,Hmnrtsintl,Breaking News: Democrats and CNN conspire with China to tank its own economy to create a “Hoax”to make Trump look b… https://t.co/RcqQjCRiSl,0,0,Planet Earth
1233849414206226432,2020-02-29 20:19:58,JanHardcastle66,#coronavirus  #Covid19  #coronavirusupdate ‘To hell and back’: my three weeks suffering from coronavirus https://t.co/NJCZSZswkn,0,0,
1233849292005269505,2020-02-29 20:19:29,MattGaetzLiver,"The pore thing.
#CoronaVirusUpdate
#hoax https://t.co/pQuF8PpoIH",0,0,Anywhere that has liquor
1233849285252395008,2020-02-29 20:19:28,MstrKnowItAll,"#CoronaVirusUpdate 
Viewers have confirmed the diagnosis that #TrumpIsAnIdiot

Someone got to him.",0,3,Earth
1233849004066312193,2020-02-29 20:18:21,doingchinabiz,PING AN: Goal is to train new smart image-reading system on clinical data from #covid19 patients coupled with AI an… https://t.co/zWFMLrUaVq,0,0,China | USA
1233848989310521344,2020-02-29 20:18:17,daily_tomato,"#Fauci
#FirstUS
#WashingtonState
#Hoax 
#KingCounty
#CoronaVirusUpdate

A tweet from ""@TeamTrump"" kissing Trump's b… https://t.co/H9vbF17puh",0,0,"Washington, USA"
1233848712646070279,2020-02-29 20:17:11,LoveSpellsMegan,"#Coronavirus or not, I'm getting on a plane Monday if I have to wear a hazmat suit and constantly stream Lysol over… https://t.co/hyk3ACXyKy",0,0,"East Coast, USA"
1233848665564905475,2020-02-29 20:17:00,BluntsInTheAir,Just stay indoors  #CoronaVirusUpdate https://t.co/xtFOjzhKBj,0,0,"Watertown, MA"
1233848665564905475,2020-02-29 20:17:00,BluntsInTheAir,Just stay indoors  #CoronaVirusUpdate https://t.co/xtFOjzhKBj,0,0,"Watertown, MA"
1233848513701842946,2020-02-29 20:16:24,DrMarcSiegel,First coronavirus death in the US confirmed  https://t.co/7Ks3dKUQaB #coronavirus #WashingtonState… https://t.co/1lCFDFwMMb,1,0,
1233848486258495489,2020-02-29 20:16:17,pattyjones5129,"The despicable way #TheDemocrats, and the #MSM are blaming @POTUS @realDonaldTrump, you’d think he ate the bat and… https://t.co/AXd2kIcT5t",0,0,USA
1233848478780010496,2020-02-29 20:16:15,IvyIvyb98,"Hey, donald! I think you should have a rally every day! #CoronaVirusUpdate It's not a *hoax*, right?… https://t.co/pUPqfE1zqB",1,2,
1233848474527027200,2020-02-29 20:16:14,RachelsErotica,"#CoronaVirusUpdate Basically, if you are healthy and/or young, you ain't got a thing to worry about except maybe ge… https://t.co/vcoZkbTTyL",0,0,Florida
1233848455748964352,2020-02-29 20:16:10,jorgejj,"@brithume That settles it. Right? Wink wink!
#Gaslighting #CoronaVirusUpdate #TrumpVirus",0,0,California
1233848448216190982,2020-02-29 20:16:08,ravensspirit68,"#CoronaVirusUpdate 
Washington State First death and case of community spread. https://t.co/mTMbe7YLsj",0,0,
1233848216971546629,2020-02-29 20:15:13,JenniWeiland4,@realDonaldTrump Many people are calling you #LowEnergyTrump. You looked haggard and sounded sedated. You're an emb… https://t.co/WjB0S0zwYi,0,1,"Russellville, AR"
1233848155046924293,2020-02-29 20:14:58,RB4444,#CoronaVirusUpdate #Hoax #coronavirus #Trump2020 #WWG1WGA #SaturdayThoughts Coronavirus is now killing 245 American… https://t.co/2xTNmlRrpM,0,1,
1233847944945815553,2020-02-29 20:14:08,MagickSpider,"I didn't take the #coronavirus seriously until I saw the amount of scapegoats the prez had up there with him.
We mu… https://t.co/Se7N4fhwYg",1,2,PA. USA
1233847864792690690,2020-02-29 20:13:49,WarriorChronic,I honestly don't see people panicking about the current state of the virus in the US. People are angry about this a… https://t.co/8il7tlaonl,0,0,
1233847863437864962,2020-02-29 20:13:49,pimpnaintBREESz,#coronavirus #hoax #COVID19 #coronavirusdeaths #CoronavirusUS #CoronavirusOutbreak #CoronaVirusUpdate… https://t.co/LvamcI3Pbz,0,0,South & West
1233847764490051590,2020-02-29 20:13:25,normbrookens,"@Applebees Yes, let's lick bowls! #CoronaVirusUpdate",0,0,"anywhere, usa"
1233847725176840196,2020-02-29 20:13:16,LesaCJ6219,Trump's presidency has been a 4 year hoax. #CoronaVirusUpdate,2,2,Born and raised in the south
1233847725176840196,2020-02-29 20:13:16,LesaCJ6219,Trump's presidency has been a 4 year hoax. #CoronaVirusUpdate,2,2,Born and raised in the south
1233847685989511168,2020-02-29 20:13:06,BabaKing_,"#coronavirus #CoronaVirusUpdate
#FBA #ADOS

Could this be the apocalypse for the Sick Asian and European man? https://t.co/2UGVEJU0Tv",0,0,
1233847619425832972,2020-02-29 20:12:50,phutc7274,The entire cluster f*** that is the Trump Administration trying to obscure the facts and their ineptitude. I would… https://t.co/iOZCmjzRiN,2,1,Not Farmville 
1233847565210341377,2020-02-29 20:12:37,TadeOKuuMushi,"""#CoronaVirus is a #hoax, and we urge Americans to refrain from visiting Italy and South Korea, because... um... th… https://t.co/VyA9xpOnTu",2,3,
1233847530481426433,2020-02-29 20:12:29,DfghjJohnny,"Bernie is susceptible to Corona Virus CANCELL ALL RALLIES     RT AND SHARE 
#CoronaVirusUpdate #coronavirus… https://t.co/6pjYfUiPcy",0,0,"Washington, DC"
1233847434528378885,2020-02-29 20:12:06,ScottB3nn3tt,"At the #CoronaVirusUpdate, Trump was asked by @KellyO if he regretted calling the outbreak a hoax now that an Ameri… https://t.co/WgrYd39FQY",1,3,"Cincinnati, OH USA"
1233847382980333570,2020-02-29 20:11:54,Strawhats4ever,#CoronaVirusUpdate the reaction liberals want... https://t.co/lpwOzy5YSx,1,1,Principality of Zeon 
1233847309781405698,2020-02-29 20:11:37,MyMuseJennifer,Report shows that Chinese air pollution has decreased since quarantine put into effect. #CoronaVirusUpdate  https://t.co/UcIGoNEuVq,1,1,Galveston / Houston Metroplex
1233847061675638787,2020-02-29 20:10:37,radical_latino_,"I don’t know about ya, but this thing doesn’t seem to be naturally made. Guess ima head to the Caribbean, since I h… https://t.co/70JyoylPmM",0,0,"Bronx, NY"
