id,date,user,text,retweet_count,favorite_count,location
1232503741825396737,2020-02-26 03:12:45,Patrici87836733,@babysgramma @TresaHuffman @prayingmedic I saw that CNN had it's first report on China's coronavirus issue on Janua… https://t.co/i5HE1Idm7R,0,0,
1232503737392025602,2020-02-26 03:12:44,hemato,We in healthcare need to inform based on science. En el area de salud debemos informar cientificamente Nonpharmaceu… https://t.co/bcbMcjWtJO,0,0,"East Hanover, NJ"
1232503737274556416,2020-02-26 03:12:44,JasonSCampbell,"Laura Ingraham doesn't think ""more globalism"" will help fight coronavirus https://t.co/pgSb0G8S9N",0,0,"Washington, DC"
1232503736729206784,2020-02-26 03:12:44,MickeySmithMBA,Looking for a logical and welcome analysis of the coronavirus risk? Look no further. https://t.co/fQhuMLuHZM,0,0,"Winston-Salem, North Carolina"
1232503735546499075,2020-02-26 03:12:44,IMPraveenDalal,@5151mpk @JOHNO_74 @myknittingwool @slpng_giants_oz I found it really strange that govts around the world are encou… https://t.co/KCjoPvutJM,0,0,"New Delhi, India"
1232503731717070848,2020-02-26 03:12:43,merrill_r,@FreeBeYouMe @TimInHonolulu I think there is a lot of concern and uncertainty about the Coronavirus mortality rate.… https://t.co/Y5eRy511MK,0,0,USA
1232503730299457537,2020-02-26 03:12:42,KPCrewe,Fox News Is Covering For Trump's Coronavirus Sabotage | Crooks and Liars https://t.co/53WwZNIh1R,0,0,"Massachusetts, USA"
1232503712725098498,2020-02-26 03:12:38,Fa__Israel,"Chistes de pene... welcome #coronavirus 

#Viña2020",0,0,"Santiago, Metropolitana de Santiago"
1232503705578065921,2020-02-26 03:12:36,EFAdults,"EFellas, please be aware by giving yourself enough information on everything you need to know about this virus.… https://t.co/ZgzO25x5PN",0,0,Jakarta & Surabaya
1232503704491659265,2020-02-26 03:12:36,DhakaTribune,"#Coronavirus death toll in #China reaches 2,715 https://t.co/nJCGLdxXpu",0,0,"Dhaka, Bangladesh"
1232503702151286789,2020-02-26 03:12:36,RomTaillandier,I will share one of the most positive post about #COVID19 ! We will beat this #Virus ! #coronavirus #strong… https://t.co/QlcWWA1mfn,0,0,"Las Vegas, NV"
1232503696476512257,2020-02-26 03:12:34,punkboyinsf,"So, Should You Panic About Coronavirus Now? https://t.co/FPc3uo0yul #coronavirus",0,0,San Francisco & beyond
